,time,open,high,low,close,tick_volume,spread,real_volume
191,1764894000,0.93532,0.93564,0.93446,0.93446,16,37,0
192,1764894300,0.93534,0.93567,0.93445,0.93537,18,37,0
193,1764894600,0.93535,0.9354,0.93526,0.93526,26,90,0
194,1764894900,0.93526,0.9355,0.93502,0.93514,68,38,0
195,1764895200,0.93509,0.9352,0.93504,0.93513,34,67,0
196,1764895500,0.93513,0.93546,0.93505,0.93513,38,39,0
197,1764895800,0.93511,0.93518,0.93485,0.93511,49,90,0
198,1764896100,0.93511,0.93515,0.93492,0.93495,40,90,0
199,1764896400,0.93533,0.93568,0.93533,0.93562,112,15,0
200,1764896700,0.93567,0.93571,0.93565,0.93569,40,14,0
201,1764897000,0.93568,0.93573,0.93562,0.93571,30,15,0
202,1764897300,0.93571,0.9358,0.9357,0.93578,24,13,0
203,1764897600,0.93579,0.93579,0.93565,0.93573,25,13,0
204,1764897900,0.93566,0.93578,0.93566,0.93571,36,4,0
205,1764898200,0.93572,0.93572,0.93567,0.93571,43,15,0
206,1764898500,0.93571,0.93576,0.93566,0.93568,34,15,0
207,1764898800,0.93568,0.93575,0.9356,0.93575,26,4,0
208,1764899100,0.9356,0.93578,0.93558,0.93576,41,15,0
209,1764899400,0.93575,0.93579,0.93573,0.93575,62,15,0
210,1764899700,0.93573,0.9358,0.93573,0.93576,37,14,0
211,1764900000,0.93576,0.93589,0.9357,0.93588,93,15,0
212,1764900300,0.93588,0.93594,0.93587,0.93589,52,15,0
213,1764900600,0.93588,0.93593,0.93587,0.93588,32,14,0
214,1764900900,0.93587,0.9359,0.93587,0.93589,74,13,0
215,1764901200,0.9359,0.93591,0.93587,0.93589,31,13,0
216,1764901500,0.9359,0.9359,0.93579,0.93584,40,13,0
217,1764901800,0.93585,0.93592,0.9358,0.93582,92,15,0
218,1764902100,0.93583,0.93584,0.93579,0.93581,66,13,0
219,1764902400,0.9358,0.93588,0.93577,0.93588,70,15,0
220,1764902700,0.93588,0.93589,0.93577,0.93578,82,15,0
221,1764903000,0.93578,0.93584,0.93576,0.9358,80,15,0
222,1764903300,0.93581,0.93586,0.93576,0.93577,96,15,0
223,1764903600,0.93576,0.93594,0.93576,0.93593,109,13,0
224,1764903900,0.93592,0.93595,0.93588,0.93588,80,13,0
225,1764904200,0.93588,0.9359,0.93587,0.93588,47,15,0
226,1764904500,0.93589,0.9359,0.93584,0.93587,70,15,0
227,1764904800,0.93588,0.93589,0.93585,0.93589,61,13,0
228,1764905100,0.93588,0.93593,0.93586,0.93587,73,15,0
229,1764905400,0.93587,0.9359,0.93584,0.93587,102,15,0
230,1764905700,0.93588,0.93588,0.93585,0.93587,40,13,0
231,1764906000,0.93588,0.93592,0.93587,0.93589,48,15,0
232,1764906300,0.93588,0.93593,0.93583,0.93585,87,15,0
233,1764906600,0.93586,0.93589,0.93581,0.93581,56,15,0
234,1764906900,0.93582,0.93592,0.9358,0.93591,82,15,0
235,1764907200,0.93591,0.93591,0.93582,0.93588,59,15,0
236,1764907500,0.93589,0.9359,0.93584,0.93585,77,15,0
237,1764907800,0.93585,0.93589,0.93583,0.93588,63,15,0
238,1764908100,0.93589,0.93591,0.93585,0.93588,72,13,0
239,1764908400,0.93587,0.93592,0.93587,0.9359,82,15,0
240,1764908700,0.93591,0.93593,0.93588,0.93592,62,15,0
241,1764909000,0.93592,0.93594,0.93591,0.93593,41,13,0
242,1764909300,0.93591,0.93593,0.93589,0.9359,40,15,0
